snes-00726	A Democratic candidate for Ohio governor revealed he received $20,000 from a pro-Assad group.	true	https://www.snopes.com/fact-check/ohio-candidate-pro-assad-group/	None	Politics	None	Bethania Palma	None	Did an Ohio Gubernatorial Candidate Accept $20,000 from a Pro-Assad Group?	23 April 2018	None	['Ohio', 'Democratic_Party_(United_States)']
snes-03871	Republican presidential candidate Donald Trump has died of a "violent heart attack."	false	https://www.snopes.com/fact-check/false-donald-trump-has-died-possible-heart-attack/	None	Junk News	None	Snopes Staff	None	Donald Trump Has Died — Possible Heart Attack	13 August 2016	None	['Republican_Party_(United_States)', 'Donald_Trump']
snes-04380	Students in Wisconsin are forced to wear armbands, wristbands, or pink triangles to identify them as transgender.	unproven	https://www.snopes.com/fact-check/wisconsin-transgender-students-force-to-wear-green-bracelets/	None	Politics	None	Kim LaCapria	None	Wisconsin Transgender Students Forced to Wear Green Bracelets?	25 July 2016	None	['None']
snes-05495	PS 169 Principal Eujin Jaela Kim banned the Pledge of Allegiance, Santa, and Thanksgiving.	mostly false	https://www.snopes.com/fact-check/ps-169-pledge-allegiance-holiday-ban-controversy/	None	Fauxtography	None	Kim LaCapria	None	PS 169 Pledge of Allegiance and Holiday Ban Controversy	14 December 2015	None	['None']
snes-05470	Newt Gingrich tweeted about the 2 December 2015 San Bernardino shooting on 13 November 2015.	false	https://www.snopes.com/fact-check/newt-gingrich-tweeted-san-bernardino-attack-november/	None	Politics	None	Kim LaCapria	None	Newt Gingrich Tweeted About San Bernardino Attack in November	18 December 2015	None	['San_Bernardino,_California', 'Newt_Gingrich']
snes-02612	Snoop Bunny Bunn	false	https://www.snopes.com/fact-check/snoop-dogg-easter-bunny-photo/	None	Uncategorized	None	Dan Evon	None	Snoop Dogg in Easter Bunny Costume?	28 March 2016	None	['None']
snes-03848	A leaked Clinton Foundation e-mail demonstrates collusion between the organization and media personality John Oliver.	false	https://www.snopes.com/fact-check/leaked-e-mail-clinton-foundation-john-oliver/	None	Conspiracy Theories	None	David Emery	None	Leaked E-mail Shows Clinton Foundation ‘Collusion’ with TV Host John Oliver	7 October 2016	None	['Clinton_Foundation', 'John_Oliver_(comedian)']
snes-02774	Do the Confederate Battle Flag's Colors Have Religious Significance?	false	https://www.snopes.com/fact-check/confederate-flag-colors-religious/	None	History	None	Arturo Garcia	None	Do the Confederate Battle Flag’s Colors Have Religious Significance?	15 March 2017	None	['None']
snes-04833	A video shows a time-traveling spectator using a camera phone to take photographs at a Mike Tyson fight back in 1995.	false	https://www.snopes.com/fact-check/mike-tyson-time-traveler/	None	Fauxtography	None	Dan Evon	None	Video Captures Time Traveler at Mike Tyson Fight	30 April 2016	None	['Mike_Tyson']
snes-02888	Did Jake Tapper Go on a Racist Tirade?	false	https://www.snopes.com/fact-check/audio-jake-tapper-racist-rant/	None	Politics	None	Dan Evon	None	Did Jake Tapper Go on a Racist Tirade?	23 February 2017	None	['None']
snes-01292	In August 2014, Michele Bachmann told Fox News that banning Mexican food in the United States would stop Mexicans from entering the country without documentation.	false	https://www.snopes.com/fact-check/michele-bachmann-mexican-food/	None	Questionable Quotes	None	Dan MacGuill	None	Did Michele Bachmann Say Banning Mexican Food Would ‘End Illegal Border Crossings’?	28 December 2017	None	['United_States', 'Mexico', 'Michele_Bachmann', 'Fox_News_Channel']
snes-02097	A photograph shows the remarkably clear Flathead Lake in Montana.	mostly true	https://www.snopes.com/fact-check/flathead-lake/	None	Fauxtography	None	David Mikkelson	None	Flathead Lake	18 March 2015	None	['Montana']
snes-01856	A woman in Sevilla, Spain, was "cut in half" in a fatal elevator accident in a hospital that occurred shortly after she gave birth.	mixture	https://www.snopes.com/fact-check/spanish-woman-fatal-elevator-accident/	None	Horrors	None	Arturo Garcia	None	Spanish Woman Cut in Half in Fatal Elevator Accident?	23 August 2017	None	['Spain', 'Seville']
snes-02477	Do Leaked Photographs Show 'Muslim Symbols' in Obama's White House?	false	https://www.snopes.com/fact-check/obama-white-house-muslim/	None	Politics	None	Dan Evon	None	Do Leaked Photographs Show ‘Muslim Symbols’ in Obama’s White House?	8 May 2017	None	['Barack_Obama']
snes-04748	Donald Trump was never accused of racism before he ran for president in 2016.	false	https://www.snopes.com/fact-check/donald-trump-racist-meme/	None	Politics	None	Dan Evon	None	Was Donald Trump Never Accused of Racism Before Running Against Democrats?	18 May 2016	None	['None']
snes-03204	Badge of Fawner	mostly false	https://www.snopes.com/fact-check/did-obama-award-himself-a-distinguished-public-service-medal/	None	Uncategorized	None	Snopes Staff	None	Did President Obama Award Himself a Distinguished Public Service Medal?	5 January 2017	None	['None']
snes-03368	Democrats have filed treason charges against President-elect Donald Trump, the Federal Bureau of Investigation, and Rudy Giuliani.	false	https://www.snopes.com/fact-check/democrats-file-treason-charges-against-trump/	None	Politicians	None	Dan Evon	None	Democrats File Treason Charges Against Trump	12 December 2016	None	['Rudy_Giuliani', 'Federal_Bureau_of_Investigation', 'Donald_Trump', 'Democratic_Party_(United_States)']
snes-03458	A woman stabbed her boyfriend because he attempted to sexually gratify himself using a raw turkey.	false	https://www.snopes.com/fact-check/woman-stabs-boyfriend-for-having-sex-with-a-turkey-carcass/	None	Junk News	None	Kim LaCapria	None	Woman Stabs Boyfriend for Having Sex With a Turkey Carcass?	29 November 2016	None	['None']
snes-02003	Snapchat is using its "Lenses" photo and video filtering technology to create a facial recognition database for use by law enforcement agencies.	false	https://www.snopes.com/fact-check/snapchat-facial-recognition/	None	Viral Phenomena	None	David Emery	None	Is Snapchat Building a Facial Recognition Database for the Feds?	26 July 2017	None	['None']
snes-05055	Taxpayers paid more than $40,000 for Sasha and Malia Obama's state dinner dresses.	mixture	https://www.snopes.com/fact-check/sasha-malia-obama-dress/	None	Uncategorized	None	Dan Evon	None	Sasha and Malia Obama’s Dresses Cost Taxpayers $20,000 Each?	16 March 2016	None	['Family_of_Barack_Obama']
snes-00692	Did Sarah Huckabee Sanders Say She Was ‘Proud’ to be Compared to Aunt Lydia From ‘The Handmaid’s Tale’?	false	https://www.snopes.com/fact-check/sarah-huckabee-sanders-aunt-lydia/	None	Politics	None	Dan MacGuill	None	Did Sarah Huckabee Sanders Say She Was ‘Proud’ to be Compared to Aunt Lydia From ‘The Handmaid’s Tale’?	30 April 2018	None	['None']
snes-01108	A rare confluence of celestial events will bring what NASA terms a “super blue blood moon” to the skies on 31 January 2018.	true	https://www.snopes.com/fact-check/super-blue-blood-moon/	None	Science	None	Alex Kasprak	None	Will There Be A ‘Super Blue Blood Moon’ This Week?	29 January 2018	None	['None']
snes-04331	Jill Stein, the Green Part's presidential candidate, is not yet on the ballot in every state.	true	https://www.snopes.com/fact-check/green-party-state-ballots/	None	Ballot Box	None	Kim LaCapria	None	Is the Green Party on the Ballot in All 50 States?	2 August 2016	None	['None']
snes-01481	Seven "key witnesses" to the 1 October 2017 mass shooting in Las Vegas have suspiciously died in a cover-up.	false	https://www.snopes.com/fact-check/seven-witnesses-to-vegas-shooting-died-suspicious/	None	Politics	None	Bethania Palma	None	Did Seven ‘Key Witnesses’ to Las Vegas Shooting Die Under ‘Suspicious Circumstances’?	3 November 2017	None	['Las_Vegas']
snes-00789	Text to Receive a Free Walmart Gift Card?	scam	https://www.snopes.com/fact-check/walmart-gift-card-2018/	None	Fraud & Scams	None	Dan MacGuill	None	Text to Receive a Free Walmart Gift Card?	9 April 2018	None	['None']
snes-06174	Rapists prowling a Target store parking lot use an elderly woman in distress to lure victims.	false	https://www.snopes.com/fact-check/targeted-for-crime/	None	Crime	None	Snopes Staff	None	Rapist in Target Parking Lot	22 October 2013	None	['None']
snes-01841	Retired Marine Col. Jeffery Powers penned an open letter to NFL commissioner Roger Goodell describing how he felt about players kneeling during the national anthem.	correct attribution	https://www.snopes.com/fact-check/retired-marine-open-letter-nfl/	None	Sports	None	Dan Evon	None	Did a Retired Marine Write an Open Letter to the NFL’s Roger Goodell About Kneeling Football Players?	25 August 2017	None	['None']
snes-01174	Are Women Using Their Menstrual Blood as Face Masks?	false	https://www.snopes.com/fact-check/blood-face-mask-ordinary/	None	Viral Phenomena	None	Dan MacGuill	None	Are Women Using Their Menstrual Blood as Face Masks?	19 January 2018	None	['None']
snes-01770	Singer Celine Dion said that she can't even look at an American flag because she hates the country.	false	https://www.snopes.com/fact-check/celine-dion-flag-hate-this-country/	None	Junk News	None	Dan Evon	None	Did Celine Dion Say ‘I Can’t Even Look at an American Flag’ Because ‘I Hate This Country?’	7 September 2017	None	['United_States']
snes-05651	Swabbing ticks with liquid soap is a recommended and effective method for removing them.	mixture	https://www.snopes.com/fact-check/ticked-off/	None	Old Wives' Tales	None	David Mikkelson	None	Tick Removal with Liquid Soap	3 July 2006	None	['None']
snes-05150	A photograph shows "the world's cutest rodent," a Baluchistan pygmy jerboa.	mixture	https://www.snopes.com/fact-check/worlds-cutest-rodent/	None	Fauxtography	None	Dan Evon	None	The ‘World’s Cutest Rodent’?	26 February 2016	None	['None']
snes-04967	A woman is suing a tampon manufacturer for 'stealing' her daughter's virginity.	false	https://www.snopes.com/fact-check/mother-sues-tampon-company/	None	Uncategorized	None	David Mikkelson	None	Mother Sues Tampon Company for ‘Stealing’ Daughter’s Virginity	3 April 2016	None	['None']
snes-02023	NASA Confirms 15 Days of Darkness in June 2017?	false	https://www.snopes.com/fact-check/15-days-darkness-november/	None	Junk News	None	Kim LaCapria	None	NASA Confirms 15 Days of Darkness?	22 July 2015	None	['None']
snes-02378	Former CIA Director John Brennan is a Muslim who converted to Islam while stationed in Saudi Arabia.	unproven	https://www.snopes.com/fact-check/cia-director-john-brennan-muslim/	None	Politics	None	Snopes Staff	None	Is Former CIA Director John Brennan a Muslim?	22 January 2015	None	['Islam', 'Saudi_Arabia', 'John_O._Brennan', 'Central_Intelligence_Agency']
snes-04820	Minutemen caught two CIA agents smuggling a sizable quantity of cocaine across the Mexican border.	false	https://www.snopes.com/fact-check/cia-crossing-border-cocaine/	None	Junk News	None	Kim LaCapria	None	CIA Agents Arrested Crossing Mexican Border with Cocaine	3 May 2016	None	['Mexico', 'Central_Intelligence_Agency']
snes-02329	An animated image shows Mount Vesuvius erupting during a firework celebration in Naples, Italy.	false	https://www.snopes.com/fact-check/new-years-naples-fireworks-volcano/	None	Fauxtography	None	Dan Evon	None	Did New Year’s Fireworks ‘Compete’ With a Volcanic Eruption in Naples, Italy?	29 May 2017	None	['Italy', 'Naples']
snes-06063	A soccer team advanced in a cup match by deliberately scoring a goal against their own side.	true	https://www.snopes.com/fact-check/football-follies/	None	Sports	None	David Mikkelson	None	Soccer Team Scores on Itself to Win Cup Match	23 June 2000	None	['None']
snes-02090	Scientists have found a drug that regenerates teeth, and it could leave dentists without work.	mixture	https://www.snopes.com/fact-check/scientists-drug-regenerates-teeth/	None	Medical	None	Alex Kasprak	None	Scientists Discover a Drug That Regenerates Teeth?	10 July 2017	None	['None']
snes-01979	A recent hiatus in sea level rise conflicts with the scientific consensus regarding global warming.	false	https://www.snopes.com/fact-check/nasa-data-global-warming/	None	Science	None	Alex Kasprak	None	Does NASA Data Show That Global Warming Isn’t Causing a Sea Level Rise?	1 August 2017	None	['None']
snes-01095	California schoolteacher Gregory Salcido called members of the United States military "the lowest of our low" during a classroom discussion.	true	https://www.snopes.com/fact-check/california-teacher-military-members/	None	Military	None	Bethania Palma	None	Did a California Teacher Call Military Members ‘the Lowest of Our Low’?	30 January 2018	None	['United_States', 'California']
snes-04445	Twenty-one people were killed in a mass shooting in Ontario (or other locations).	false	https://www.snopes.com/fact-check/21-dead-in-ontario/	None	Junk News	None	Kim LaCapria	None	21 Dead, Many Injured in Ontario	15 July 2016	None	['Ontario']
snes-06092	A photograph shows an anti-rape device known as RapeX, a female condom with teeth lining the inside.	mixture	https://www.snopes.com/fact-check/rapex/	None	Crime	None	David Mikkelson	None	RapeX, the South African Anti-Rape Condom	27 July 2012	None	['None']
snes-02618	Casey Anthony is pregnant with twins and hoping to star in a reality TV show.	false	https://www.snopes.com/fact-check/anthony-not-adverse/	None	Humor	None	David Mikkelson	None	Casey Anthony Pregnant with Twins?	18 November 2011	None	['None']
snes-02478	Did a Little Girl Call President Trump a 'Disgrace to the World'?	false	https://www.snopes.com/fact-check/trump-disgrace-world-girl/	None	Humor	None	Dan Evon	None	Did a Little Girl Call President Trump a ‘Disgrace to the World’?	8 May 2017	None	['None']
snes-05697	A photograph snapped during a tornado shows a Cthulhu-like tentacled figure in the sky.	false	https://www.snopes.com/fact-check/cthulhu-rising/	None	Fauxtography	None	Snopes Staff	None	Did a Tentacled Creature Appear in a Tornado?	18 May 2015	None	['None']
snes-03987	A federal gun law was passed in September 2016 which will prevent people from practicing "open carry" in all 50 states.	false	https://www.snopes.com/fact-check/new-federal-gun-law-prevents-open-carry-in-all-50-states/	None	Junk News	None	Dan Evon	None	New Federal Gun Law Prevents Open Carry in All 50 States	21 September 2016	None	['None']
snes-05539	An anti-masturbation mascot named Fappy the Dolphin was arrested for swimming naked with dolphins at a SeaWorld park.	false	https://www.snopes.com/fact-check/fappy-arrested-seaworld/	None	Junk News	None	Dan Evon	None	Christian Anti-Masturbation’s Mascot “Fappy” Arrested for Public Masturbation?	16 November 2015	None	['SeaWorld']
snes-00831	Corey Feldman was stabbed by assailants angered by his claims that he was victim of pedophilia.	unproven	https://www.snopes.com/fact-check/corey-feldman-stabbing-incident/	None	Crime	None	Kim LaCapria	None	Was Actor Corey Feldman Stabbed Over Pedophilia Claims?	29 March 2018	None	['None']
snes-04707	A mounted policeman's horse had its leg broken by protesters during anti-Trump demonstrations.	false	https://www.snopes.com/fact-check/protesters-break-horses-leg/	None	Critter Country	None	Brooke Binkowski	None	Anti-Trump Protesters Break Horse’s Leg	26 May 2016	None	['None']
snes-04512	A woman was injured while trying to steal fireworks from Walmart by hiding them in her vagina.	false	https://www.snopes.com/fact-check/fireworks-explodes-woman-shoplifting/	None	Junk News	None	Dan Evon	None	Fireworks Explode in Woman During Shoplifting Attempt	6 July 2016	None	['None']
snes-06017	Barack Obama appropriated the Social Security number of a dead man born in 1890 and used it as his own.	false	https://www.snopes.com/fact-check/false-obama-stole-his-social-security-number-from-paul-ludwig/	None	Politicians	None	David Mikkelson	None	Did Barack Obama Steal His Social Security Number?	13 June 2011	None	['None']
snes-02336	Memorial Day began with a May 1865 ceremony held by former slaves to honor Union war dead.	mixture	https://www.snopes.com/fact-check/memorial-day/	None	Uncategorized	None	David Mikkelson	None	The Origins of Memorial Day	28 May 2013	None	['None']
snes-04614	Mexico pledged to close the country's borders with the United States if Donald Trump is elected president.	false	https://www.snopes.com/fact-check/mexico-border-trump-elected/	None	Junk News	None	Kim LaCapria	None	Mexico to Close Border if Trump is Elected	14 June 2016	None	['United_States', 'Mexico', 'Donald_Trump']
snes-06335	Muslim girls buried alive by their father are fed and comforted by Jesus until rescuers come for them.	false	https://www.snopes.com/fact-check/buried-treasures/	None	Glurge Gallery	None	David Mikkelson	None	Buried Muslim Girls	12 August 2007	None	['Jesus']
snes-06045	The White House obtained its name because it was repainted white after the British burned it in 1814.	false	https://www.snopes.com/fact-check/white-house-wash/	None	History	None	David Mikkelson	None	White House Name Origins	8 March 2001	None	['United_Kingdom', 'White_House']
snes-04954	An ISIS attack claimed seven lives in a U.S. town.	false	https://www.snopes.com/fact-check/seven-dead-by-isis/	None	Horrors	None	Kim LaCapria	None	Seven People ‘Dead by ISIS’ in Local Attack	6 April 2016	None	['United_States']
snes-01240	Aquafina Bottled Water Does Not Freeze?	false	https://www.snopes.com/fact-check/aquafina-bottled-water-not-freeze/	None	Science	None	Alex Kasprak	None	Aquafina Bottled Water Does Not Freeze?	9 January 2018	None	['None']
snes-00326	A photograph shows Russian president Vladimir Putin aggressively pulling on U.S. president Barack Obama's tie.	false	https://www.snopes.com/fact-check/putin-obama-tie-pull/	None	Fauxtography	None	Dan Evon	None	Does This Photograph Show Putin Pulling President Obama’s Tie?	18 July 2018	None	['Vladimir_Putin', 'United_States', 'Russia', 'Barack_Obama']
snes-00103	Warrick Dunn started a charitable program to house single-parent families in honor of his mother, a police officer who was killed when he was a teenager.	true	https://www.snopes.com/fact-check/warrick-dunn-build-homes/	None	Politics	None	Dan Evon	None	Has Warrick Dunn Built More Than 145 Homes for Single Parents?	11 September 2018	None	['None']
snes-04138	The FDA said Frosted Flakes are healthier than avocados.	mostly false	https://www.snopes.com/fact-check/fda-frosted-flakes-are-healthier-than-avocados/	None	Food	None	Kim LaCapria	None	FDA: Frosted Flakes are Healthier than Avocados	30 August 2016	None	['None']
snes-05680	A photograph captures a deceased Marilyn Monroe at rest in her funeral casket.	false	https://www.snopes.com/fact-check/at-rest-in-a-pucci-dress/	None	Fauxtography	None	Dan Evon	None	Marilyn Monroe Funeral Photograph	29 May 2015	None	['Marilyn_Monroe']
snes-02356	Ariana Grande contacted the families of those who died in the Manchester Arena attack, and will pay for their funerals.	unproven	https://www.snopes.com/fact-check/ariana-grande-pay-manchester-bombing-funerals/	None	Entertainment	None	Dan MacGuill	None	Did Ariana Grande Offer to Pay for the Funerals of the Manchester Bombing Victims?	24 May 2017	None	['None']
snes-00305	A viral photograph shows the former French Education Minister Najat Vallaud-Belkacem as a young girl in Morocco.	miscaptioned	https://www.snopes.com/fact-check/najat-vallaud-belkacem-shepherd-morocco-photo/	None	Fauxtography	None	Dan MacGuill	None	Does This Photograph Show a Future French Politician as a Shepherd in Morocco?	24 July 2018	None	['France', 'Morocco']
snes-01909	In August 2017, Harvard University reversed its suspension of Malia Obama, after an intervention by Barack Obama.	false	https://www.snopes.com/fact-check/malia-obama-harvard/	None	Junk News	None	Dan MacGuill	None	Did Barack Obama Order Harvard to Reverse His Daughter Malia’s Suspension?	14 August 2017	None	['Barack_Obama', 'Harvard_University', 'Family_of_Barack_Obama']
snes-02432	Was a Pastor Eaten by Crocodiles While Trying to Walk on Water?	false	https://www.snopes.com/fact-check/pastor-eaten-by-crocodiles/	None	Junk News	None	Kim LaCapria	None	Was a Pastor Eaten by Crocodiles While Trying to Walk on Water?	15 May 2017	None	['None']
snes-03644	The NYPD is investigating and building a case against Bill Clinton pertaining to an underage sex ring.	false	https://www.snopes.com/fact-check/clinton-underage-sex-ring/	None	Junk News	None	Kim LaCapria	None	NYPD Looking to Press Charges Against Bill Clinton for Underage Sex Ring	2 November 2016	None	['Bill_Clinton', 'New_York_City_Police_Department']
snes-03114	End of Sessions	true	https://www.snopes.com/fact-check/coretta-scott-king-criticize-jeff-sessions-record/	None	History	None	Arturo Garcia	None	Did Coretta Scott King Criticize Jeff Sessions’ Record?	19 January 2017	None	['None']
snes-04525	A photograph shows the skeletal remains of the Loch Ness Monster.	false	https://www.snopes.com/fact-check/loch-ness-monster-carcass/	None	Fauxtography	None	Dan Evon	None	Photographs Show Carcass of Loch Ness Monster	30 June 2016	None	['None']
snes-02515	A video shows clouds rolling over Mount Fuji.	mostly false	https://www.snopes.com/fact-check/clouds-over-mount-fuji/	None	Viral Phenomena	None	Dan Evon	None	Clouds Over Mount Fuji	1 May 2017	None	['None']
snes-05982	A letter to the editors of a local newspaper urges atheists to get out of America.	mixture	https://www.snopes.com/fact-check/stomp-out-atheists/	None	Humor	None	David Mikkelson	None	‘Stomp Out Atheists in America’ Letter	26 September 2007	None	['United_States']
snes-02551	Were Pot Plants Planted in Potholes in Portland?	false	https://www.snopes.com/fact-check/pot-potholes-portland/	None	Fauxtography	None	Dan Evon	None	Was Pot Planted in Potholes in Portland?	24 April 2017	None	['None']
snes-06205	During an MTV interview, singer Lauryn Hill said: "I would rather die than have a white person buy one of my albums."	false	https://www.snopes.com/fact-check/the-miselucidation-of-lauryn-hill/	None	Entertainment	None	Snopes Staff	None	The Miselucidation of Lauryn Hill	3 November 2000	None	['None']
snes-01634	Flight Crew Takes a Knee, Leaving New Orleans Saints Stranded on Runway?	false	https://www.snopes.com/fact-check/flight-crew-takes-knee/	None	Junk News	None	Kim LaCapria	None	Flight Crew Takes a Knee, Leaving New Orleans Saints Stranded on Runway?	3 October 2017	None	['None']
snes-02345	Did a Man in Montana Catch a Three-Foot Long Grasshopper?	false	https://www.snopes.com/fact-check/enormous-grasshopper-montana/	None	Fauxtography	None	Dan Evon	None	Did a Man in Montana Catch a Three-Foot Long Grasshopper?	25 May 2017	None	['None']
snes-03349	A Tennessee boy died in the arms of a local man portraying Santa Claus during a hospital visit.	unproven	https://www.snopes.com/fact-check/5-year-old-boy-dies-in-santas-arms/	None	Glurge Gallery	None	Arturo Garcia	None	Did a Hospitalized 5-Year-Old Boy Die in Santa’s Arms?	13 December 2016	None	['Tennessee']
snes-05515	The legal drinking age has been raised to 23.	false	https://www.snopes.com/fact-check/legal-drinking-age-raised/	None	Junk News	None	Dan Evon	None	Has the Legal Drinking Age Been Raised to 23?	9 December 2015	None	['None']
snes-03092	Donald Trump plagiarized portions of 'Bee Movie' and 'Avatar' for his inaugural address.	false	https://www.snopes.com/fact-check/trump-inaugural-address-plagiarism/	None	Politics	None	Dan Evon	None	Did Donald Trump Plagiarize His Inaugural Address from ‘Bee Movie’ and ‘Avatar?’	21 January 2017	None	['None']
snes-05676	Scammers pay with cashier's checks larger than the purchase price and ask the balances be sent to third parties.	scam	https://www.snopes.com/fact-check/cashiers-check-overpayment-scam/	None	Fraud & Scams	None	David Mikkelson	None	Cashier’s Check Overpayment Scam	7 September 2003	None	['None']
snes-03006	A vintage advertisement features a young boy eating a stick of butter.	false	https://www.snopes.com/fact-check/boy-eating-butter-ad/	None	Fauxtography	None	Dan Evon	None	Does a Vintage Advertisement Show Boy Eating a Stick of Butter?	2 February 2017	None	['None']
snes-00563	In 2017, "Muslim immigrants" committed 11,000 out of 13,000 total knife crime offences in London, England.	unproven	https://www.snopes.com/fact-check/london-knife-crime-muslims/	None	Politics	None	Dan MacGuill	None	Did ‘Muslim Immigrants’ Commit the Most Knife Crimes in London in 2017?	22 May 2018	None	['England', 'London', 'Islam']
snes-05848	McDonald's buys their meat from a company called '100% Beef,' which allows them to legally but deceptively claim they use 100% beef in their hamburgers.	false	https://www.snopes.com/fact-check/100-beef/	None	Business	None	Snopes Staff	None	Are McDonald’s Hamburgers 100% Beef?	24 January 2011	None	['None']
snes-05736	Billionaire David Rockefeller received his sixth heart transplant at the advanced age of 99.	false	https://www.snopes.com/fact-check/99-problems-all-heart-related/	None	Media Matters	None	Kim LaCapria	None	David Rockefeller’s Sixth Heart Transplant Successful at Age 99?	28 April 2015	None	['David_Rockefeller']
snes-04216	A video shows a real farm that gets rainbow cheese from rainbow cows.	false	https://www.snopes.com/fact-check/rainbow-grilled-cheese-cow-video/	None	Fauxtography	None	Dan Evon	None	Rainbow Grilled Cheese	19 August 2016	None	['None']
snes-04715	Marvel Comics writer Stan Lee passed away in May 2016.	false	https://www.snopes.com/fact-check/stan-lee-death-hoax/	None	Junk News	None	Dan Evon	None	Stan Lee Death Hoax	25 May 2016	None	['Stan_Lee', 'Marvel_Comics']
snes-05796	Hillary Clinton was named after famed mountain climber Sir Edmund Hillary.	false	https://www.snopes.com/fact-check/hillary-vs-hillary/	None	Politicians	None	David Mikkelson	None	Hillary Clinton Named for Sir Edmund Hillary?	10 June 2003	None	['None']
snes-03361	Chapecoense, the soccer team which lost 19 players in a plane crash, was fined for forfeiting their final match.	false	https://www.snopes.com/fact-check/soccer-chapecoense-fined-forfeiting/	None	Sports	None	Dan Evon	None	Soccer Team Chapecoense Fined for Forfeiting Final Match	12 December 2016	None	['None']
snes-03996	A customer found a deep-fried rat head in a Popeyes Chicken meal in Harlem.	unproven	https://www.snopes.com/fact-check/popeyes-chicken-rat-head/	None	Food	None	Kim LaCapria	None	Customer Reports Finding Rat Head in Popeyes Chicken	20 September 2016	None	['Harlem']
snes-02904	Did Ben Carson Say That Illegal Immigrants Caught Voting Should Lose Their U.S. Citizenship?	mostly true	https://www.snopes.com/fact-check/ben-carson-voter-fraud/	None	Politics	None	Dan Evon	None	Did Ben Carson Say That Illegal Immigrants Caught Voting Should Lose Their U.S. Citizenship?	19 February 2017	None	['United_States']
snes-05519	Quoting the Bible will become illegal in Cincinnati as of 9 December 2015.	false	https://www.snopes.com/fact-check/will-quoting-the-bible-be-made-illegal/	None	Politics	None	Kim LaCapria	None	Will quoting the Bible be made illegal in Cincinnati?	8 December 2015	None	['Cincinnati', 'Bible']
snes-02595	Did Eric Trump Say His Father Would Cancel Taxes for Wealthy People?	false	https://www.snopes.com/fact-check/eric-trump-cancel-taxes-wealthy/	None	Junk News	None	Kim LaCapria	None	Did Eric Trump Say His Father Would Cancel Taxes for Wealthy People?	17 April 2017	None	['None']
snes-00600	Palestine will compete in Eurovision 2019.	false	https://www.snopes.com/fact-check/was-palestine-permission-compete-eurovision-2019/	None	Entertainment	None	Bethania Palma	None	Was Palestine Granted Permission to Compete in Eurovision 2019?	14 May 2018	None	['None']
snes-01774	The FireChat app can send messages without any connection to the Internet.	true	https://www.snopes.com/fact-check/can-firechat-send-messages-without-internet/	None	Technology	None	Dan Evon	None	Can the ‘FireChat’ App Send Messages Without an Internet Connection?	7 September 2017	None	['None']
snes-06187	The chairman of the Barilla pasta brand once said he would never use homosexual couples in his advertisements.	true	https://www.snopes.com/fact-check/barilla-pasta/	None	Sexuality	None	Snopes Staff	None	Barilla Pasta’s Anti-Gay Remarks	26 September 2013	None	['None']
snes-01462	Is Playing Christmas Music Before Thanksgiving Now a Federal Crime?	false	https://www.snopes.com/fact-check/playing-christmas-music-federal-crime/	None	Junk News	None	David Emery	None	Is Playing Christmas Music Before Thanksgiving Now a Federal Crime?	8 November 2017	None	['None']
snes-03326	A "Make-A-Wish" experience was ruined when a high school football player tackled a sick child running for a touchdown.	false	https://www.snopes.com/fact-check/make-a-wish-touchdown/	None	Fauxtography	None	Dan Evon	None	Make-A-Wish Touchdown	16 December 2016	None	['None']
snes-01956	Life Is Hard; It's Even Harder When You're Stupid'	false	https://www.snopes.com/fact-check/words-of-wisdom/	None	Questionable Quotes	None	David Mikkelson	None	‘Life Is Hard; It’s Even Harder When You’re Stupid’	4 May 2015	None	['None']
snes-06397	Mobile homes are so named because they can be moved from place to place.	false	https://www.snopes.com/fact-check/mobile-home-origin/	None	Lost Legends	None	David Mikkelson	None	Mobile Home Origin	26 May 2004	None	['None']
snes-03215	Close examination of a photograph taken by NASA’s Mars Curiosity Rover shows the presence of a hairy, spider-monkey like creature.	false	https://www.snopes.com/fact-check/hairy-spider-monkey-found-mars/	None	Fauxtography	None	Alex Kasprak	None	‘Hairy Spider Monkey’ Found on Mars?	3 January 2017	None	['None']
snes-00152	Former president Jimmy Carter has announced that the cancer in his liver has spread to other parts of his body.	outdated	https://www.snopes.com/fact-check/jimmy-carter-cancer-spreading/	None	Inboxer Rebellion	None	Dan MacGuill	None	Did Jimmy Carter Announce That His Cancer Is Spreading?	29 August 2018	None	['Jimmy_Carter']
snes-06135	Rectal thermometers are 'personally tested' in the very same way that consumers use them.	false	https://www.snopes.com/fact-check/thermometer-testing/	None	Humor	None	David Mikkelson	None	Rectal Thermometer Testing	20 January 2012	None	['None']
snes-03946	Most canned pumpkin isn't actually pumpkin, but a mixture of other squashes (including butternut).	mixture	https://www.snopes.com/fact-check/canned-pumpkin-isnt-actually-pumpkin/	None	Food	None	Kim LaCapria	None	Canned Pumpkin Isn’t Actually Pumpkin?	26 September 2016	None	['None']
snes-00591	Did Maxine Waters Say She Would Impeach Trump If She Became President?	false	https://www.snopes.com/fact-check/did-maxine-waters-say-impeach-trump/	None	Politics	None	Dan Evon	None	Did Maxine Waters Say She Would Impeach Trump If She Became President?	15 May 2018	None	['None']
