snes-01605	Hugh Hefner paid $75,000 to be interred next to Marilyn Monroe in a Los Angeles cemetery.	true	https://www.snopes.com/fact-check/did-hugh-hefner-pay-to-be-buried-next-to-marilyn-monroe/	None	Entertainment	None	Arturo Garcia	None	Did Hugh Hefner Pay to be Interred Next to Marilyn Monroe?	10 October 2017	None	['Los_Angeles', 'Hugh_Hefner', 'Marilyn_Monroe']
snes-04421	Undocumented McDonald's worker Maria Englesia was fired for telling police officers "we don't serve pigs."	false	https://www.snopes.com/fact-check/illegal-alien-denied-cops-service-we-dont-serve-pigs/	None	Junk News	None	Kim LaCapria	None	Illegal Alien Denied Cops Service, ‘We Don’t Serve Pigs’	19 July 2016	None	['None']
snes-06292	Harley-Davidson's 'Fat Boy' motorcycle was designed to represent the dropping of atomic bombs on Japan.	false	https://www.snopes.com/fact-check/fat-boy/	None	Business	None	David Mikkelson	None	Harley-Davidson Fat Boy	8 November 2000	None	['Japan', 'Harley-Davidson']
snes-06373	Breaking a mirror brings seven years of bad luck.	legend	https://www.snopes.com/fact-check/breaking-a-mirror/	None	Superstition	None	David Mikkelson	None	Breaking a Mirror	17 January 2009	None	['None']
snes-02576	Due to a recent court ruling, It is now legal for women in the U.S. to display their breasts in public.	mostly false	https://www.snopes.com/fact-check/breasts-in-public/	None	Uncategorized	None	Kim LaCapria	None	Did a U.S. Federal Court Rule That Women are Free to Display Their Breasts in Public?	19 April 2017	None	['United_States']
snes-05402	Eric Holder participated in the armed occupation of a Columbia University ROTC office in 1970.	mostly false	https://www.snopes.com/fact-check/eric-holder-participated-in-armed-siege-of-rotc-office/	None	Crime	None	Kim LaCapria	None	Eric Holder Participated in an Armed Takeover of an ROTC Office	6 January 2016	None	['Eric_Holder']
snes-02724	A recent invasion of New Guinea Flatworms in Florida poses a significant risk to human health and a sighting of this non-native animal should be reported to authorities by calling 911.	mostly false	https://www.snopes.com/fact-check/call-police-new-guinea-flatworm/	None	Science	None	Alex Kasprak	None	Should People Call the Police if They See a New Guinea Flatworm?	27 March 2017	None	['None']
snes-01845	Did Congress Designate Confederate Soldiers as United States Veterans?	mostly false	https://www.snopes.com/fact-check/confederate-soldiers-veterans/	None	Politics	None	Kim LaCapria	None	Did Congress Designate Confederate Soldiers as United States Veterans?	24 August 2017	None	['None']
snes-03669	Queen Elizabeth II has offered to restore British rule over the United States of America.	false	https://www.snopes.com/fact-check/queen-offers-to-restore-british-rule-over-united-states/	None	Junk News	None	David Mikkelson	None	Queen Offers to Restore British Rule Over United States	30 October 2016	None	['United_States', 'United_Kingdom', 'Elizabeth_II']
snes-03986	Actor Brad Pitt authored "A Secret of Love" about his wife.	false	https://www.snopes.com/fact-check/a-secret-of-love/	None	Glurge Gallery	None	David Mikkelson	None	A Secret of Love — Brad Pitt	28 June 2013	None	['Brad_Pitt']
snes-02449	The Taco Bell fast food chain is closing all of their locations.	false	https://www.snopes.com/fact-check/taco-bell-closing/	None	Junk News	None	Dan Evon	None	Taco Bell Announcing Bankruptcy, All Stores Closing by 2018?	1 June 2016	None	['None']
snes-00519	Donald Trump once refused to allow a marine engineer on board his yacht because the man was black.	unproven	https://www.snopes.com/fact-check/donald-trump-yacht-boarding/	None	Politics	None	David Mikkelson	None	Did Donald Trump Prevent a Black Man from Boarding His Yacht?	2 June 2018	None	['None']
snes-01707	The United States Secret Service arrested Alec Baldwin for threatening President Donald Trump at the 2017 Emmy Awards.	false	https://www.snopes.com/fact-check/alec-baldwin-arrested-trump/	None	Junk News	None	Dan MacGuill	None	Was Alec Baldwin Arrested at the 2017 Emmys for Threatening President Donald Trump?	18 September 2017	None	['Alec_Baldwin', 'United_States_Secret_Service', 'Emmy_Award', 'Donald_Trump']
snes-02782	A photograph shows a man who was mugged while delivering comic books to his sick daughter.	false	https://www.snopes.com/fact-check/comic-book-mugging/	None	Fauxtography	None	Dan Evon	None	Was This Man Mugged While Delivering Comic Books to His Sick Daughter?	14 March 2017	None	['None']
snes-04373	An image shows a vintage Budweiser beer ad bearing the tagline "when you need to get her drunk."	false	https://www.snopes.com/fact-check/budweiser-get-her-drunk/	None	Fauxtography	None	Dan Evon	None	‘When You Need to Get Her Drunk’	26 July 2016	None	['None']
snes-03624	Sixteen girls were impregnated after a boy ejaculated in a swimming pool.	false	https://www.snopes.com/fact-check/girls-impregnated-swimming-in-pool/	None	Junk News	None	Dan Evon	None	Were 16 Girls Impregnated After a Teenager Ejaculated in a Pool?	12 February 2016	None	['None']
snes-05673	Caitlyn Jenner regrets transitioning to female and wishes to de-transition.	false	https://www.snopes.com/fact-check/false-jenners-gender/	None	Media Matters	None	David Mikkelson	None	Caitlyn Jenner to De-Transition	4 June 2015	None	['None']
snes-04253	In the 1950s, a Las Vegas hotel completely drained their pool because black entertainer Dorothy Dandridge stuck her toe in the water.	legend	https://www.snopes.com/fact-check/dandridge-drained-pool/	None	Entertainment	None	Kim LaCapria	None	Definitely Not Friends of Dorothy	13 August 2016	None	['Las_Vegas']
snes-02613	Sarah Palin Claims Jesus Celebrated Easter?	false	https://www.snopes.com/fact-check/false-sarah-palin-claims-jesus-celebrated-easter/	None	Uncategorized	None	David Mikkelson	None	Sarah Palin Claims Jesus Celebrated Easter?	24 October 2013	None	['None']
snes-02196	The officer who saved Steve Scalise, Crystal Griner, is a lesbian (and the congressman anti-gay rights).	mostly true	https://www.snopes.com/fact-check/crystal-griner-steve-scalise/	None	Politics	None	Kim LaCapria	None	Crystal Griner and Steve Scalise	16 June 2017	None	['None']
snes-00740	Kawhi Leonard said that he refused to play for the San Antonio Spurs because of coach Gregg Popovich's anti-Trump comments.	false	https://www.snopes.com/fact-check/did-leonard-refuse-play-anti-trump-comments/	None	Entertainment	None	Dan Evon	None	Did Kawhi Leonard Refuse to Play Because His Coach Made Anti-Trump Comments?	19 April 2018	None	['Gregg_Popovich', 'San_Antonio_Spurs']
snes-03683	A photograph shows actor Bill Murray and a crying baby.	true	https://www.snopes.com/fact-check/bill-murray-or-tom-hanks/	None	Fauxtography	None	Dan Evon	None	Bill Murray or Tom Hanks?	28 October 2016	None	['Bill_Murray']
snes-02237	A German woman was fined €1,350 for sharing an anti-migrant meme on her Facebook page.	true	https://www.snopes.com/fact-check/german-woman-fined-facebook-meme-refugees/	None	Crime	None	Dan MacGuill	None	Did a German Woman Get Fined for Sharing a Meme on Facebook?	9 June 2017	None	['Germany', 'Facebook']
snes-00463	Did an Iowa Congressman Retweet a White Supremacist?	true	https://www.snopes.com/fact-check/iowa-congressman-retweet-white-supremacist/	None	Politicians	None	Arturo Garcia	None	Did an Iowa Congressman Retweet a White Supremacist?	13 June 2018	None	['None']
snes-00133	Did the University of Alabama Cut Ties with Nike Over the Colin Kaepernick Endorsement Deal?	false	https://www.snopes.com/fact-check/nike-alabama/	None	Sports	None	Dan MacGuill	None	Did the University of Alabama Cut Ties with Nike Over the Colin Kaepernick Endorsement Deal?	5 September 2018	None	['None']
snes-04920	A photograph shows Paul McCartney wearing a t-shirt with the word "adopt" written across the chest.	false	https://www.snopes.com/fact-check/paul-mccartney-adopt-shirt/	None	Fauxtography	None	Dan Evon	None	Photograph of Paul McCartney Wearing ‘Adopt’ Shirt	14 April 2016	None	['None']
snes-03050	A photograph shows Canadian Prime Minister Justin Trudeau watering a tree in the rain.	false	https://www.snopes.com/fact-check/justin-trudeau-waters-a-tree-in-the-rain/	None	Fauxtography	None	Dan Evon	None	Justin Trudeau Waters a Tree in the Rain?	30 January 2017	None	['Justin_Trudeau', 'Canada']
snes-01515	Photograph shows a patient who received a severe penile burn from urinating on an electric fence.	miscaptioned	https://www.snopes.com/fact-check/dont-whizz-on-the-electric-fence/	None	Fauxtography	None	David Mikkelson	None	Does a Photograph Show a Penile Burn from an Electric Fence?	28 December 2006	None	['None']
snes-04011	News photograph captions described a black man "looting" and a white couple "finding" supplies in the wake of Hurricane Katrina.	true	https://www.snopes.com/fact-check/hurricane-katrina-looters/	None	Hurricane Katrina	None	David Mikkelson	None	Were Hurricane Katrina ‘Looting’ Photographs Captioned Differently Based on Race?	1 September 2005	None	['Hurricane_Katrina']
snes-02721	A Southern California mom experienced a near-miss abduction of her daughter by human traffickers at a local IKEA store.	unproven	https://www.snopes.com/fact-check/california-ikea-trafficking/	None	Crime	None	Kim LaCapria	None	Narrow Brush with Human Traffickers at a Southern California IKEA?	28 March 2017	None	['IKEA', 'Southern_California']
snes-05935	The day after Thanksgiving in the United States, Black Friday, is the biggest shopping day of the year.	mixture	https://www.snopes.com/fact-check/black-friday-biggest-shopping-day-year/	None	Holidays	None	David Mikkelson	None	Is Black Friday the Biggest Shopping Day of the Year?	28 November 2003	None	['United_States']
snes-01026	Kehinde Wiley, the artist who painted former President Barack Obama's official portrait, also produced a pair of paintings depicting black women decapitating white people.	true	https://www.snopes.com/fact-check/kehinde-wiley-painted-black-woman-severed-head/	None	Racial Rumors	None	David Emery	None	Did Obama’s Portraitist Paint an Image of a Black Woman Holding the Severed Head of a White Person?	13 February 2018	None	['None']
snes-02649	Malia Obama was expelled from Harvard for a drug violation.	false	https://www.snopes.com/fact-check/malia-obama-expelled-harvard/	None	Junk News	None	Dan Evon	None	Malia Obama Expelled from Harvard?	10 April 2017	None	['Harvard_University']
snes-04207	Author J.K. Rowling was the first person to fall off of the Forbes billionaires list due to donating so much money to charity.	mixture	https://www.snopes.com/fact-check/j-k-rowling-drops-off-forbes-billionaires-list/	None	Uncategorized	None	David Emery	None	J.K. Rowling Drops Off Forbes Billionaires List Due to Charitable Donations	20 August 2016	None	['Forbes']
snes-01264	A photo retweeted by President Donald Trump shows the widow of a veteran killed in the line of duty.	miscaptioned	https://www.snopes.com/fact-check/picture-soldier-family-killed/	None	Politics	None	Arturo Garcia	None	Is This Family Grieving a Soldier Killed in Action?	5 January 2018	None	['None']
snes-02562	Massapequa, New York pizza restaurant Villaggio's refused to serve a soldier named John Welch because he visited with a service dog.	false	https://www.snopes.com/fact-check/restaurant-refuse-soldier-massapequa/	None	Military	None	Kim LaCapria	None	Did a New York Restaurant Refuse to Serve a United States Soldier?	21 April 2017	None	['Massapequa,_New_York', 'New_York_City']
snes-03497	High school students in Texas were reprimanded for a skit depicting the assassination of President-elect Trump.	true	https://www.snopes.com/fact-check/texas-high-school-students-fake-trump-assassination/	None	Politicians	None	Bethania Palma	None	Texas High School Students Fake Trump Assassination	21 November 2016	None	['Texas']
snes-02771	Mike Pence once said that smoking doesn't kill people.	mixture	https://www.snopes.com/fact-check/mike-pence-smoking/	None	Politics	None	Kim LaCapria	None	Mike Pence Said Smoking Doesn’t Kill?	11 November 2016	None	['Mike_Pence']
snes-02107	Recent seismic activity in Yellowstone Park portends a coming cataclysmic volcanic eruption.	false	https://www.snopes.com/fact-check/unmellow-yellow/	None	Uncategorized	None	Alex Kasprak	None	Do Yellowstone Earthquakes Foretell a Coming Cataclysm?	6 July 2017	None	['Yellowstone_National_Park']
snes-00300	Whoopi Goldberg called Judge Jeanine Pirro a "sand n***er" after the latter's appearance on 'The View.'	false	https://www.snopes.com/fact-check/goldberg-pirro-view-spat/	None	Politics	None	Dan Evon	None	Did Whoopi Goldberg Call Judge Jeanine Pirro a ‘Sand N***er?’	24 July 2018	None	['Whoopi_Goldberg', 'Jeanine_Pirro']
snes-02223	The Trump administration sent a letter to recipients of the President's Education Award, misspelling the word "success."	mostly false	https://www.snopes.com/fact-check/trump-letters-succuess/	None	Fauxtography	None	Kim LaCapria	None	Did President Trump Send Letters Lauding Middle Schoolers on Their ‘Succuess’?	12 June 2017	None	['None']
snes-02170	Jon Ossoff is running to represent Georgia's sixth congressional district while living outside its boundaries.	true	https://www.snopes.com/fact-check/ossoff-sixth-congressional-district/	None	Politics	None	Arturo Garcia	None	Does Jon Ossoff Live Outside Georgia’s Sixth Congressional District?	20 June 2017	None	['None']
snes-04274	Iran's Tasnim News Agency blurred a woman volleyball player out of a photograph because she was in a bikini.	false	https://www.snopes.com/fact-check/iran-blurs-photograph-showing-olympics-volleyball-player/	None	Fauxtography	None	Brooke Binkowski	None	Iran Blurs Photograph Showing Olympics Volleyball Player	10 August 2016	None	['Iran']
snes-02972	Education Secretary Betsy DeVos ordered that all classroom globes be flattened.	false	https://www.snopes.com/fact-check/betsy-devos-demand-classroom-globes-flattened/	None	Junk News	None	Kim LaCapria	None	Did Betsy DeVos Demand That Classroom Globes Be Flattened?	9 February 2017	None	['None']
snes-02893	President Donald Trump signed an executive order that bars undocumented people from receiving welfare.	false	https://www.snopes.com/fact-check/trump-undocumented-immigrants-welfare/	None	Junk News	None	Arturo Garcia	None	Did President Trump Sign an Order Barring Undocumented Immigrants from Receiving Welfare?	22 February 2017	None	['None']
snes-03099	Canadian officials planted a "privacy hedge" along that country's border with the U.S.	false	https://www.snopes.com/fact-check/canada-border-privacy-hedge/	None	Junk News	None	Arturo Garcia	None	Did Canada Plant a ‘Privacy Hedge’ Along the U.S. Border?	20 January 2017	None	['United_States', 'Canada']
snes-00745	Samuel Beckett used to drive a teenaged André the Giant to school when they lived in a small French village.	mixture	https://www.snopes.com/fact-check/andre-the-giant-samuel-beckett/	None	Entertainment	None	Dan MacGuill	None	Did Samuel Beckett Drive a Young André the Giant to School?	18 April 2018	None	['France', 'Samuel_Beckett']
snes-04500	U.S. Secretary of State John Kerry hide a close familial connection to an Iranian official with whom he negotiated a nuclear deal.	false	https://www.snopes.com/fact-check/persian-shrug/	None	Politics	None	Kim LaCapria	None	Did John Kerry Hide His Connection to an Iranian Official with Whom He Negotiated a Nuclear Deal?	31 July 2015	None	['United_States', 'Iran', 'John_Kerry']
snes-01376	Horrifying photographs posted on social media by a Nigerian politician depict slaves sold in Libya.	miscaptioned	https://www.snopes.com/fact-check/tortured-nigerian-slaves-in-libya/	None	Viral Phenomena	None	Bethania Palma	None	Are These Images of Tortured Nigerian Slaves in Libya?	4 December 2017	None	['Nigeria', 'Libya']
snes-05486	A photograph shows a chemtrail switch on a plane.	false	https://www.snopes.com/fact-check/chemtrails-switch-photo/	None	Fauxtography	None	Dan Evon	None	Chemtrails Switch Photo	15 December 2015	None	['None']
snes-03727	Trump hotels are being renamed to eliminate use of the name 'Trump.'	mixture	https://www.snopes.com/fact-check/trump-removes-name-from-hotels/	None	Politics	None	Dan Evon	None	Trump Just Removed His Name from His Hotels Due to Plummeting Business?	23 October 2016	None	['None']
snes-01715	Disney is giving away free theme park tickets to Facebook users.	scam	https://www.snopes.com/fact-check/free-disney-theme-park-tickets-scam/	None	Inboxer Rebellion	None	David Mikkelson	None	‘Free Disney Theme Park Tickets’ Scam	1 May 2012	None	['Facebook', 'The_Walt_Disney_Company']
snes-05303	A New York artist named Lana Newstrom creates and sells "invisible art."	false	https://www.snopes.com/fact-check/invisible-art/	None	Fauxtography	None	David Mikkelson	None	FALSE: New York Artist Creates ‘Art’ That Is Invisible	29 September 2014	None	['New_York_City']
snes-01265	In a 2 January 2018 Twitter thread, Chelsea Clinton wished the Church of Satan a Happy New Year.	true	https://www.snopes.com/fact-check/chelsea-clinton-church-satan/	None	Religion	None	David Emery	None	Did Chelsea Clinton Tweet ‘Happy New Year’ to the Church of Satan?	5 January 2018	None	['Chelsea_Clinton']
snes-01045	Did Keanu Reeves Give an Envelope of Cash to Pay for a Stranger's Kidney Transplant?	false	https://www.snopes.com/fact-check/did-keanu-reeves-help-pay-for-a-strangers-kidney-transplant-with-an-envelope-of-cash/	None	Entertainment	None	Dan Evon	None	Did Keanu Reeves Help Pay for a Stranger’s Kidney Transplant With an Envelope of Cash?	9 February 2018	None	['Keanu_Reeves']
snes-05348	Donald Trump said that he will deport all Nigerians if he gets elected president.	false	https://www.snopes.com/fact-check/donald-trump-nigeria-quote/	None	Junk News	None	Dan Evon	None	FALSE: Donald Trump Said He Would Deport All Nigerians	18 January 2016	None	['Donald_Trump']
snes-00282	Chipotle $100 Gift Card Giveaway	scam	https://www.snopes.com/fact-check/chipotle-gift-card-giveaway/	None	Fraud & Scams	None	David Mikkelson	None	Chipotle $100 Gift Card Giveaway	31 July 2018	None	['None']
snes-04851	North Carolina no longer considers the $20 bill to be legal tender.	false	https://www.snopes.com/fact-check/north-carolina-20-bills-fake/	None	Junk News	None	Dan Evon	None	North Carolina No Longer Accepts $20 Bills	27 April 2016	None	['None']
snes-06234	A virus deadly to dogs has been spreading in the canine population of the U.S.	true	https://www.snopes.com/fact-check/dog-flu/	None	Medical	None	David Mikkelson	None	Dog Flu	26 September 2005	None	['United_States']
snes-00540	Did Melania Trump Plagiarize a Memorial Day Tweet From Michelle Obama?	false	https://www.snopes.com/fact-check/melania-trump-plagiarize-memorial-day-tweet-michelle-obama/	None	Politics	None	Kim LaCapria	None	Did Melania Trump Plagiarize a Memorial Day Tweet From Michelle Obama?	29 May 2018	None	['Michelle_Obama']
snes-00823	The Swedish parliament rejected seven proposals in May 2017 establishing a mandatory vaccination program, enacting a ban on the practice.	mostly false	https://www.snopes.com/fact-check/sweden-ban-mandatory-vaccinations-children-2017/	None	Politics	None	Arturo Garcia	None	Did Sweden Ban Mandatory Vaccinations for Children in 2017?	13 March 2018	None	['Sweden']
snes-05412	A riot broke out after a woman accidentally defecated while administering "vodka butt shots" on New Year's Eve.	false	https://www.snopes.com/fact-check/vodka-butt-shots-riot/	None	Junk News	None	Kim LaCapria	None	New Year’s Eve Vodka Butt Shots Riot	5 January 2016	None	['None']
snes-05663	Over 37 million bees were killed by a large GMO cornfield was planted in Ontario, Canada.	unproven	https://www.snopes.com/fact-check/bees-gmo-cornfield/	None	Food	None	David Mikkelson	None	Were 37 Million Bees Found Dead After the Planting of a Large GMO Corn Field?	7 November 2014	None	['Canada', 'Ontario']
snes-02736	Three Sheets to the Wind: The Rum-Soaked Voyage of the USS Constitution	false	https://www.snopes.com/fact-check/uss-constitution/	None	History	None	David Emery	None	Three Sheets to the Wind: The Rum-Soaked Voyage of the USS Constitution	23 March 2017	None	['None']
snes-01912	Racist Protesters Protected by Black Policeman?	true	https://www.snopes.com/fact-check/racist-protesters-protected-black-policeman/	None	Fauxtography	None	David Mikkelson	None	Racist Protesters Protected by Black Policeman?	13 August 2017	None	['None']
snes-03670	The World Health Organization has listed being single as a disability under their definition of infertility.	unproven	https://www.snopes.com/fact-check/being-single-is-a-disability/	None	Medical	None	Arturo Garcia	None	Is Being Single a Disability?	29 October 2016	None	['None']
snes-05609	A video shows a man suffering the deleterious effects of drinking 24 cans of Red Bull.	miscaptioned	https://www.snopes.com/fact-check/24-cans-of-red-bull/	None	Fauxtography	None	David Mikkelson	None	Does a Video Show the Effects of Drinking 24 Cans of Red Bull?	22 July 2015	None	['None']
snes-00172	Verizon Wireless limited the Santa Clara County Fire Department's data access by "throttling" their service in the midst of a wildfire.	true	https://www.snopes.com/fact-check/verizon-firefighter-data-service/	None	Politics	None	Arturo Garcia	None	Did Verizon Wireless Throttle a Fire Department’s Data Service During a Wildfire?	24 August 2018	None	['None']
snes-03008	Neil Gorsuch called for the "advancement of the white race" and segregation in a 2012 statement.	false	https://www.snopes.com/fact-check/neil-gorsuch-separation-of-white-and-black/	None	Politics	None	Arturo Garcia	None	Did Neil Gorsuch Push for the ‘Separation of the White and Black Races’?	2 February 2017	None	['None']
snes-02556	Three power outages that coincided in Los Angeles, San Francisco and New York were caused by Russian hacking.	false	https://www.snopes.com/fact-check/power-outages-la-sf-nyc/	None	Uncategorized	None	Bethania Palma	None	Were Power Outages in Los Angeles, San Francisco and New York Caused by Cyberattacks?	22 April 2017	None	['San_Francisco', 'Los_Angeles', 'Russia', 'New_York_City']
snes-02672	A dragon skeleton was discovered in northern Iceland.	false	https://www.snopes.com/fact-check/dragon-skeleton-discovered-iceland/	None	Junk News	None	Dan Evon	None	Dragon Skeleton Discovered in Iceland?	6 April 2017	None	['Iceland']
snes-01920	President Trump inherited a White House infested with cockroaches due to the careless behavior of his predecessor, Barack Obama.	false	https://www.snopes.com/fact-check/obama-left-trump-a-white-house-full-of-roaches/	None	Politics	None	Dan Evon	None	Obama Left Trump a White House Full of Roaches?	11 August 2017	None	['White_House', 'Barack_Obama']
snes-03012	Did Neil Gorsuch Found a High School 'Fascism Forever' Club?	false	https://www.snopes.com/fact-check/neil-gorsuchs-fascism-forever-club/	None	Questionable Quotes	None	Kim LaCapria	None	Did Neil Gorsuch Found a High School ‘Fascism Forever’ Club?	2 February 2017	None	['None']
snes-05953	A machine-shop worker tore his scrotum in a piece of machinery and then stapled it back together.	true	https://www.snopes.com/fact-check/suture-self/	None	Medical	None	David Mikkelson	None	Scrotum Self-Repair?	17 March 1999	None	['None']
snes-02426	A man was hospitalized after a fidget spinner became lodged in his anus.	false	https://www.snopes.com/fact-check/fidget-spinner-fake-news/	None	Junk News	None	Kim LaCapria	None	Was a Man Hospitalized to Remove a Lodged Fidget Spinner?	16 May 2017	None	['None']
snes-04897	A boy is suing his parents for allowing him to be born with red hair.	false	https://www.snopes.com/fact-check/red-haired-teen-sues-his-parents/	None	Junk News	None	David Mikkelson	None	Red-Haired Teen Sues His Parents for $2M for Being Born “Ginger”	18 April 2016	None	['None']
snes-03091	Official Department of Interior Twitter accounts were temporarily deactivated after the National Park Service account was used to retweet negative information about the incoming Trump administration.	true	https://www.snopes.com/fact-check/nps-twitter-account-shut-down/	None	Politics	None	David Emery	None	National Park Service Twitter Account Shut Down After Anti-Trump Retweets	21 January 2017	None	['National_Park_Service']
snes-01302	Former NBA superstar won a hefty award in 2015 after filing suit against a grocery chain that used his name in an advertisement without his permission.	true	https://www.snopes.com/fact-check/michael-jordan-sue-grocery-store-10-million/	None	Legal Affairs	None	David Mikkelson	None	Did Michael Jordan Sue a Grocery Store for $10 Million?	24 December 2017	None	['None']
snes-04931	New York State Gov. Andrew Cuomo issued a multi-state "travel ban" involving states with "lax gun laws."	false	https://www.snopes.com/fact-check/new-york-state-gun-travel-ban/	None	Junk News	None	Kim LaCapria	None	New York State Gun Travel Ban	12 April 2016	None	['None']
snes-04782	Anti-abortion groups are claiming every sperm cell is "a life."	false	https://www.snopes.com/fact-check/every-sperm-is-sacred/	None	Junk News	None	Kim LaCapria	None	Pro-Lifers Declare Every Sperm Is Sacred	10 May 2016	None	['None']
snes-02465	A Syrian refugee receives close to $400,000 in benefits a year from the German government in order to take care of his wives and children.	mostly false	https://www.snopes.com/fact-check/muslim-migrant-benefits/	None	Politics	None	Dan Evon	None	Does a ‘Muslim Migrant’ from Syria with Four Wives, 23 Children Receive $390,000 a Year in Benefits?	9 May 2017	None	['Germany', 'Syria']
snes-01696	Are Facebook Users Secretly Following You?	false	https://www.snopes.com/fact-check/facebook-paying-spies/	None	Technology	None	Kim LaCapria	None	Are Facebook Users Secretly Following You?	5 January 2017	None	['None']
snes-01923	In August 2017, the Texas House of Representatives passed a bill that would force women to purchase "rape insurance."	mixture	https://www.snopes.com/fact-check/texas-rape-insurance/	None	Politics	None	Dan MacGuill	None	Did the Texas House of Representatives Pass a Law Requiring Women to Buy ‘Rape Insurance’?	11 August 2017	None	['Texas_House_of_Representatives']
snes-04324	Actor Denzel Washington announced he is switching his support to Donald Trump in the 2016 presidential election.	false	https://www.snopes.com/fact-check/denzel-washington-switches-trump/	None	Junk News	None	David Emery	None	Denzel Washington Switches to Trump	3 August 2016	None	['Donald_Trump', 'Denzel_Washington']
snes-01157	Does a Video Show a Muslim Engaging in a 'Halal Slash'?	miscaptioned	https://www.snopes.com/fact-check/halal-slash-video/	None	Fauxtography	None	Dan Evon	None	Does a Video Show a Muslim Engaging in a ‘Halal Slash’?	22 January 2018	None	['None']
snes-00714	A "new" study has demonstrated that marijuana leads to a "complete remission" of Crohn's disease.	false	https://www.snopes.com/fact-check/new-study-marijuana-crohns/	None	Medical	None	Alex Kasprak	None	Did a New Study Show That Marijuana Leads to a Complete Remission of Crohn’s Disease?	25 April 2018	None	['None']
snes-00335	The Trump administration made immigrants pay $800 for DNA tests in order to get back children taken under its "zero tolerance" policy.	unproven	https://www.snopes.com/fact-check/immigrants-dna-tests-pay/	None	Politics	None	Bethania Palma	None	Is the Trump Administration Making Immigrants Pay $800 for DNA Tests to Get Their Children Back?	17 July 2018	None	['None']
snes-04422	Donald Trump and his children face charges of evading $250 million in taxes.	mostly false	https://www.snopes.com/fact-check/trump-and-children-face-250-million-tax-evasion-charges/	None	Politics	None	David Mikkelson	None	Trump and Children Face $250 Million Tax Evasion Charges	19 July 2016	None	['None']
snes-04232	A photograph shows Hillary Clinton wearing a defibrillator under her clothes at a campaign event.	false	https://www.snopes.com/fact-check/hillary-clinton-defibrillator/	None	Politicians	None	Dan Evon	None	Hillary Clinton Wears a Defibrillator?	16 August 2016	None	['None']
snes-01033	Did a Texas Teacher Named Heather Holland Die Because She Couldn't Afford Flu Medicine?	mostly false	https://www.snopes.com/fact-check/heather-holland-died-flu-medicine/	None	Medical	None	David Emery	None	Did a Texas Teacher Named Heather Holland Die Because She Couldn’t Afford Flu Medicine?	12 February 2018	None	['Texas']
snes-00263	In 2005, Senator Barack Obama expressed his opposition to "undetected, undocumented, unchecked" immigration.	true	https://www.snopes.com/fact-check/barack-obama-2005-immigration-quote/	None	Politics	None	Dan MacGuill	None	Did Barack Obama Express Opposition to ‘Undetected, Undocumented, Unchecked’ Immigration?	2 August 2018	None	['Barack_Obama']
snes-03455	KT McFarland, Trump's pick for his national security team, outed her gay brother as he was dying from AIDS.	unproven	https://www.snopes.com/fact-check/trumps-latest-staff-pick-outed-dying-gay-brother/	None	Politics	None	Bethania Palma	None	Trump’s Latest Staff Pick Outed Dying Gay Brother?	29 November 2016	None	['None']
snes-01710	A circulating list of nine historical "facts" about slavery accurately details the participation of non-whites in slave ownership and trade in America.	mixture	https://www.snopes.com/fact-check/facts-about-slavery/	None	History	None	David Emery	None	9 Facts About Slavery They Don’t Want You to Know	17 August 2016	None	['United_States']
snes-02257	Facebook revised its position on to female toplessness or nipple exposure in imagery as of May 2017.	false	https://www.snopes.com/fact-check/facebook-lifts-nipple-ban/	None	Technology	None	Kim LaCapria	None	Has Facebook Reversed Their ‘Nipple Ban’?	6 June 2017	None	['None']
snes-05428	Chipotle's 2015 outbreaks of foodborne illness were the work of pro-GMO bioterrorists.	unproven	https://www.snopes.com/fact-check/chipotle-gmo-bioterror/	None	Politics	None	Kim LaCapria	None	Chipotle Sabotaged by GMO Activists?	30 December 2015	None	['None']
snes-06204	The lyrics of James Taylor's "Fire and Rain" chronicle his reaction to the death of his girlfriend in a plane crash.	false	https://www.snopes.com/fact-check/fire-and-rain/	None	Entertainment	None	David Mikkelson	None	The Meaning of James Taylor’s Fire and Rain	14 December 2007	None	['None']
snes-01847	Ronald Reagan: 'If Fascism Ever Comes to America, It Will Come in the Name of Liberalism'	true	https://www.snopes.com/fact-check/ronald-reagan-fascism-liberalism/	None	Politics	None	Bethania Palma	None	Ronald Reagan: ‘If Fascism Ever Comes to America, It Will Come in the Name of Liberalism’	24 August 2017	None	['United_States', 'Ronald_Reagan']
snes-05313	Residents of Flint, Michigan have been threatened by CPS with removal of their children if they refuse to pay for contaminated water.	false	https://www.snopes.com/fact-check/flint-water-crisis-cps/	None	Legal	None	Kim LaCapria	None	Flint Residents Told That Their Children Could Be Taken Away If They Don’t Pay for City’s Poison Water?	26 January 2016	None	['Michigan', 'Flint,_Michigan']
snes-03528	Julian Assange asked President-Elect Donald Trump for a pardon in exchange for his help in defeating Hillary Clinton.	mostly false	https://www.snopes.com/fact-check/assange-asks-for-pardon/	None	Uncategorized	None	Kim LaCapria	None	WikiLeaks Asks President-Elect Trump to Pardon Julian Assange as Compensation?	17 November 2016	None	['Julian_Assange', 'Hillary_Rodham_Clinton', 'Donald_Trump']
